SentenceNo,concept,CTNo,path,sentence,srcterm,dstterm
Sentence19,object1,CT1,nmod:for->compound->,Poseidon Group searches for administrator accounts on both the local victim machine and the network.,searches ,administrator accounts
Sentence19,object1,CT2,nmod:for->,Poseidon Group searches for administrator accounts on both the local victim machine and the network.,searches ,administrator accounts
Sentence19,object2,CT1,nmod:for->nmod:on->amod->,Poseidon Group searches for administrator accounts on both the local victim machine and the network.,searches ,local victim machine
Sentence19,object2,CT2,nmod:for->nmod:on->compound->,Poseidon Group searches for administrator accounts on both the local victim machine and the network.,searches ,local victim machine
Sentence19,object2,CT3,nmod:for->nmod:on->,Poseidon Group searches for administrator accounts on both the local victim machine and the network.,searches ,local victim machine
Sentence20,object1,CT1,dobj->amod->,Threat Group-3390 has used net user to conduct internal discovery of systems.,conduct ,internal discovery
Sentence20,object1,CT2,dobj->,Threat Group-3390 has used net user to conduct internal discovery of systems.,conduct ,internal discovery
Sentence20,object2,CT1,dobj->nmod:of->,Threat Group-3390 has used net user to conduct internal discovery of systems.,conduct ,systems
Sentence21,object1,CT1,dobj->,admin@338 actors used the following commands following exploitation of a machine with LOWBALL malware to enumerate user accounts.,used ,commands
Sentence21,goal1,CT1,advcl:to->,admin@338 actors used the following commands following exploitation of a machine with LOWBALL malware to enumerate user accounts.,used ,enumerate user accounts
Sentence21,goal1,CT2,advcl:to->dobj->compound->,admin@338 actors used the following commands following exploitation of a machine with LOWBALL malware to enumerate user accounts.,used ,enumerate user accounts
Sentence21,goal1,CT3,advcl:to->dobj->,admin@338 actors used the following commands following exploitation of a machine with LOWBALL malware to enumerate user accounts.,used ,enumerate user accounts
Sentence22,object1,CT1,dobj->compound->,menuPass has used the Microsoft administration tool execution file to export Active Directory data.,used ,Microsoft administration tool execution file
Sentence22,object1,CT2,dobj->compound->,menuPass has used the Microsoft administration tool execution file to export Active Directory data.,used ,Microsoft administration tool execution file
Sentence22,object1,CT3,dobj->compound->,menuPass has used the Microsoft administration tool execution file to export Active Directory data.,used ,Microsoft administration tool execution file
Sentence22,object1,CT4,dobj->compound->,menuPass has used the Microsoft administration tool execution file to export Active Directory data.,used ,Microsoft administration tool execution file
Sentence22,object1,CT5,dobj->,menuPass has used the Microsoft administration tool execution file to export Active Directory data.,used ,Microsoft administration tool execution file
Sentence22,goal1,CT1,advcl:to->,menuPass has used the Microsoft administration tool execution file to export Active Directory data.,used ,export Active Directory data
Sentence22,goal1,CT2,advcl:to->dobj->amod->,menuPass has used the Microsoft administration tool execution file to export Active Directory data.,used ,export Active Directory data
Sentence22,goal1,CT3,advcl:to->dobj->compound->,menuPass has used the Microsoft administration tool execution file to export Active Directory data.,used ,export Active Directory data
Sentence22,goal1,CT4,advcl:to->dobj->,menuPass has used the Microsoft administration tool execution file to export Active Directory data.,used ,export Active Directory data
Sentence23,object1,CT1,dobj->,The discovery modules used with Duqu can collect information on accounts and permissions.,collect ,information
Sentence23,object2,CT1,nmod:on->,The discovery modules used with Duqu can collect information on accounts and permissions.,collect ,accounts
Sentence24,object1,CT1,dobj->amod->,Elise executes net user after initial communication is made to the remote server.,executes ,net user
Sentence24,object1,CT2,dobj->,Elise executes net user after initial communication is made to the remote server.,executes ,net user
Sentence25,object1,CT1,dobj->,GeminiDuke collects information on local user accounts from the victim.,collects ,information
Sentence25,object2,CT1,dobj->nmod:on->amod->,GeminiDuke collects information on local user accounts from the victim.,collects ,local user accounts
Sentence25,object2,CT2,dobj->nmod:on->compound->,GeminiDuke collects information on local user accounts from the victim.,collects ,local user accounts
Sentence25,object2,CT3,dobj->nmod:on->,GeminiDuke collects information on local user accounts from the victim.,collects ,local user accounts
Sentence26,object1,CT1,dobj->,MURKYTOP has the capability to retrieve information about users on remote hosts.,retrieve ,information
Sentence26,object2,CT1,dobj->nmod:about->,MURKYTOP has the capability to retrieve information about users on remote hosts.,retrieve ,users
Sentence27,object1,CT1,dobj->,Mis-Type may create a file containing the results of the command net user Commands under net user can be used in Net to gather information about and manipulate user accounts.,gather ,information
Sentence27,object2,CT1,xcomp-u->parataxis-u->dobj-u->acl-u->dobj-u->nmod:of-u->compound-u->,Mis-Type may create a file containing the results of the command net user Commands under net user can be used in Net to gather information about and manipulate user accounts.,gather ,user accounts
Sentence27,object2,CT2,dobj->nmod:manipulate->,Mis-Type may create a file containing the results of the command net user Commands under net user can be used in Net to gather information about and manipulate user accounts.,gather ,user accounts
Sentence28,object1,CT1,dobj->amod->,OSInfo enumerates local and domain users.,enumerates ,local
Sentence28,object2,CT1,dobj->amod->,OSInfo enumerates local and domain users.,enumerates ,domain users
Sentence28,object2,CT2,dobj->,OSInfo enumerates local and domain users.,enumerates ,domain users
Sentence29,object1,CT1,dobj->,POWERSTATS can retrieve usernames from compromised hosts.,retrieve ,usernames
Sentence29,object2,CT1,dobj->nmod:from->amod->,POWERSTATS can retrieve usernames from compromised hosts.,retrieve ,compromised hosts
Sentence29,object2,CT2,dobj->nmod:from->,POWERSTATS can retrieve usernames from compromised hosts.,retrieve ,compromised hosts
Sentence30,object1,CT1,dobj->amod->,POWRUNER may collect user account information by running net user or a series of other commands on a victim.,running ,net user
Sentence30,object1,CT2,advcl:by-u->dobj-u->compound-u->,POWRUNER may collect user account information by running net user or a series of other commands on a victim.,running ,net user
Sentence30,object2,CT1,dobj->,POWRUNER may collect user account information by running net user or a series of other commands on a victim.,running ,commands
Sentence30,goal1,CT1,advcl:by-u->,POWRUNER may collect user account information by running net user or a series of other commands on a victim.,running ,collect user account information
Sentence30,goal1,CT2,advcl:by-u->dobj-u->compound-u->,POWRUNER may collect user account information by running net user or a series of other commands on a victim.,running ,collect user account information
Sentence30,goal1,CT3,advcl:by-u->dobj-u->compound-u->,POWRUNER may collect user account information by running net user or a series of other commands on a victim.,running ,collect user account information
Sentence30,goal1,CT4,advcl:by-u->dobj-u->,POWRUNER may collect user account information by running net user or a series of other commands on a victim.,running ,collect user account information
Sentence31,object1,CT1,dobj->,PowerSploit's Get-ProcessTokenGroup Privesc-PowerUp module can enumerate all SIDs associated with its current token.,enumerate ,SIDs
Sentence31,object2,CT1,dobj->acl->nmod:with->amod->,PowerSploit's Get-ProcessTokenGroup Privesc-PowerUp module can enumerate all SIDs associated with its current token.,enumerate ,current token
Sentence31,object2,CT2,dobj->acl->nmod:with->,PowerSploit's Get-ProcessTokenGroup Privesc-PowerUp module can enumerate all SIDs associated with its current token.,enumerate ,current token
Sentence32,object1,CT1,dobj->compound->,Pupy uses PowerView and Pywerview to perform discovery commands such as net user, net group, net local group, etc.,perform ,discovery commands
Sentence32,object1,CT2,dobj->,Pupy uses PowerView and Pywerview to perform discovery commands such as net user, net group, net local group, etc.,perform ,discovery commands
Sentence32,object2,CT1,dobj->nmod:such_as->amod->,Pupy uses PowerView and Pywerview to perform discovery commands such as net user, net group, net local group, etc.,perform ,net user, net group, net local group,
Sentence32,object2,CT3,dobj->nmod:such_as->amod->,Pupy uses PowerView and Pywerview to perform discovery commands such as net user, net group, net local group, etc.,perform ,net user, net group, net local group,
Sentence32,object2,CT5,dobj->nmod:such_as->amod->,Pupy uses PowerView and Pywerview to perform discovery commands such as net user, net group, net local group, etc.,perform ,net user, net group, net local group,
Sentence32,object2,CT6,dobj->nmod:such_as->conj->amod->,Pupy uses PowerView and Pywerview to perform discovery commands such as net user, net group, net local group, etc.,perform ,net user, net group, net local group,
Sentence33,object1,CT1,dobj->,Remsec can obtain a list of users.,obtain ,list of users
Sentence33,object1,CT2,dobj->nmod:of->case->,Remsec can obtain a list of users.,obtain ,list of users
Sentence33,object1,CT3,dobj->nmod:of->,Remsec can obtain a list of users.,obtain ,list of users
Sentence34,object1,CT1,dobj->compound->,S-Type runs the command net user on a victim.,runs ,command net user
Sentence34,object1,CT2,dobj->amod->,S-Type runs the command net user on a victim.,runs ,command net user
Sentence34,object1,CT3,dobj->,S-Type runs the command net user on a victim.,runs ,command net user
Sentence34,object2,CT1,nmod:on->,S-Type runs the command net user on a victim.,runs ,victim
Sentence35,object1,CT1,dobj->,S-Type also runs tests to determine the privilege level of the compromised user.,runs ,tests
Sentence35,goal1,CT1,advcl:to->,S-Type also runs tests to determine the privilege level of the compromised user.,runs ,determine the privilege level
Sentence35,goal1,CT2,advcl:to->dobj->det->,S-Type also runs tests to determine the privilege level of the compromised user.,runs ,determine the privilege level
Sentence35,goal1,CT3,advcl:to->dobj->compound->,S-Type also runs tests to determine the privilege level of the compromised user.,runs ,determine the privilege level
Sentence35,goal1,CT4,advcl:to->dobj->,S-Type also runs tests to determine the privilege level of the compromised user.,runs ,determine the privilege level
Sentence35,goal2,CT1,advcl:to->dobj->nmod:of->amod->,S-Type also runs tests to determine the privilege level of the compromised user.,runs ,compromised user
Sentence35,goal2,CT2,advcl:to->dobj->nmod:of->,S-Type also runs tests to determine the privilege level of the compromised user.,runs ,compromised user
Sentence36,object1,CT1,dobj->,SHOTPUT has a command to retrieve information about connected users.,has ,command
Sentence36,goal1,CT1,dobj->acl:to->,SHOTPUT has a command to retrieve information about connected users.,has ,retrieve information
Sentence36,goal1,CT2,dobj->acl:to->dobj->,SHOTPUT has a command to retrieve information about connected users.,has ,retrieve information
Sentence36,goal2,CT1,dobj->acl:to->dobj->nmod:about->amod->,SHOTPUT has a command to retrieve information about connected users.,has ,connected users
Sentence36,goal2,CT2,dobj->acl:to->dobj->nmod:about->,SHOTPUT has a command to retrieve information about connected users.,has ,connected users
Sentence37,object1,CT1,dobj->amod->,Sykipot may use net group to display accounts in the "domain admins" permissions group and net localgroup "administrators" to list local system administrator group membership.,use ,net group
Sentence37,object1,CT2,dobj->,Sykipot may use net group to display accounts in the "domain admins" permissions group and net localgroup "administrators" to list local system administrator group membership.,use ,net group
Sentence37,goal1,CT1,advcl:to->,Sykipot may use net group to display accounts in the "domain admins" permissions group and net localgroup "administrators" to list local system administrator group membership.,use ,display accounts
Sentence37,goal1,CT2,advcl:to->dobj->,Sykipot may use net group to display accounts in the "domain admins" permissions group and net localgroup "administrators" to list local system administrator group membership.,use ,display accounts
Sentence37,goal2,CT1,advcl:to->advcl:to->,Sykipot may use net group to display accounts in the "domain admins" permissions group and net localgroup "administrators" to list local system administrator group membership.,use ,list local system administrator group membership
Sentence37,goal2,CT2,advcl:to->advcl:to->dobj->amod->,Sykipot may use net group to display accounts in the "domain admins" permissions group and net localgroup "administrators" to list local system administrator group membership.,use ,list local system administrator group membership
Sentence37,goal2,CT3,advcl:to->advcl:to->dobj->compound->,Sykipot may use net group to display accounts in the "domain admins" permissions group and net localgroup "administrators" to list local system administrator group membership.,use ,list local system administrator group membership
Sentence37,goal2,CT4,advcl:to->advcl:to->dobj->compound->,Sykipot may use net group to display accounts in the "domain admins" permissions group and net localgroup "administrators" to list local system administrator group membership.,use ,list local system administrator group membership
Sentence37,goal2,CT5,dobj->,Sykipot may use net group to display accounts in the "domain admins" permissions group and net localgroup "administrators" to list local system administrator group membership.,use ,list local system administrator group membership
Sentence37,goal2,CT6,advcl:to->advcl:to->dobj->,Sykipot may use net group to display accounts in the "domain admins" permissions group and net localgroup "administrators" to list local system administrator group membership.,use ,list local system administrator group membership
Sentence38,object1,CT1,nsubjpass->,dsquery can be used to gather information on user accounts within a domain.,used ,dsquery
Sentence38,goal1,CT1,xcomp->,dsquery can be used to gather information on user accounts within a domain.,used ,gather information
Sentence38,goal1,CT2,xcomp->dobj->,dsquery can be used to gather information on user accounts within a domain.,used ,gather information
Sentence38,goal2,CT1,xcomp->dobj->nmod:on->compound->,dsquery can be used to gather information on user accounts within a domain.,used ,user accounts
Sentence38,goal2,CT2,xcomp->dobj->nmod:on->,dsquery can be used to gather information on user accounts within a domain.,used ,user accounts
Sentence39,object1,CT2,ccomp->,Lazarus Group malware WhiskeyDelta-Two contains a function that attempts to rename the administratorâ€™s account.,rename ,administratorâ€™s account
Sentence40,object1,CT1,dobj->compound->,The Mimikatz credential dumper has been extended to include Skeleton Key domain controller authentication bypass functionality.,include ,Skeleton Key domain controller authentication bypass functionality
Sentence40,object1,CT2,dobj->compound->,The Mimikatz credential dumper has been extended to include Skeleton Key domain controller authentication bypass functionality.,include ,Skeleton Key domain controller authentication bypass functionality
Sentence40,object1,CT3,dobj->compound->,The Mimikatz credential dumper has been extended to include Skeleton Key domain controller authentication bypass functionality.,include ,Skeleton Key domain controller authentication bypass functionality
Sentence40,object1,CT4,dobj->compound->,The Mimikatz credential dumper has been extended to include Skeleton Key domain controller authentication bypass functionality.,include ,Skeleton Key domain controller authentication bypass functionality
Sentence40,object1,CT5,dobj->compound->,The Mimikatz credential dumper has been extended to include Skeleton Key domain controller authentication bypass functionality.,include ,Skeleton Key domain controller authentication bypass functionality
Sentence40,object1,CT6,dobj->compound->,The Mimikatz credential dumper has been extended to include Skeleton Key domain controller authentication bypass functionality.,include ,Skeleton Key domain controller authentication bypass functionality
Sentence40,object1,CT7,dobj->,The Mimikatz credential dumper has been extended to include Skeleton Key domain controller authentication bypass functionality.,include ,Skeleton Key domain controller authentication bypass functionality
Sentence41,object1,CT1,dobj->compound->,The LSADUMP::ChangeNTLM and LSADUMP::SetNTLM modules can also manipulate the password hash of an account without knowing the clear text value.,manipulate ,password hash
Sentence41,object1,CT2,dobj->,The LSADUMP::ChangeNTLM and LSADUMP::SetNTLM modules can also manipulate the password hash of an account without knowing the clear text value.,manipulate ,password hash
Sentence41,object2,CT1,dobj->nmod:of->,The LSADUMP::ChangeNTLM and LSADUMP::SetNTLM modules can also manipulate the password hash of an account without knowing the clear text value.,manipulate ,account
Sentence42,object1,CT1,nsubjpass->compound->,Skeleton Key is used to patch an enterprise domain controller authentication process with a backdoor password.,used ,Skeleton Key
Sentence42,object1,CT2,nsubjpass->,Skeleton Key is used to patch an enterprise domain controller authentication process with a backdoor password.,used ,Skeleton Key
Sentence42,goal1,CT1,xcomp->,Skeleton Key is used to patch an enterprise domain controller authentication process with a backdoor password.,used ,patch an enterprise domain controller authentication process
Sentence42,goal1,CT2,xcomp->dobj->det->,Skeleton Key is used to patch an enterprise domain controller authentication process with a backdoor password.,used ,patch an enterprise domain controller authentication process
Sentence42,goal1,CT3,xcomp->dobj->compound->,Skeleton Key is used to patch an enterprise domain controller authentication process with a backdoor password.,used ,patch an enterprise domain controller authentication process
Sentence42,goal1,CT4,xcomp->dobj->compound->,Skeleton Key is used to patch an enterprise domain controller authentication process with a backdoor password.,used ,patch an enterprise domain controller authentication process
Sentence42,goal1,CT5,xcomp->dobj->compound->,Skeleton Key is used to patch an enterprise domain controller authentication process with a backdoor password.,used ,patch an enterprise domain controller authentication process
Sentence42,goal1,CT6,xcomp->dobj->compound->,Skeleton Key is used to patch an enterprise domain controller authentication process with a backdoor password.,used ,patch an enterprise domain controller authentication process
Sentence42,goal1,CT7,xcomp->dobj->,Skeleton Key is used to patch an enterprise domain controller authentication process with a backdoor password.,used ,patch an enterprise domain controller authentication process
Sentence42,goal2,CT1,xcomp->nmod:with->amod->,Skeleton Key is used to patch an enterprise domain controller authentication process with a backdoor password.,used ,backdoor password
Sentence42,goal2,CT2,xcomp->nmod:with->,Skeleton Key is used to patch an enterprise domain controller authentication process with a backdoor password.,used ,backdoor password
Sentence43,object1,CT1,dobj->amod->,It allows adversaries to bypass the standard authentication system to use a defined password for all accounts authenticating to that domain controller.,bypass ,standard authentication system
Sentence43,object1,CT2,dobj->compound->,It allows adversaries to bypass the standard authentication system to use a defined password for all accounts authenticating to that domain controller.,bypass ,standard authentication system
Sentence43,object1,CT3,dobj->,It allows adversaries to bypass the standard authentication system to use a defined password for all accounts authenticating to that domain controller.,bypass ,standard authentication system
Sentence43,goal1,CT1,dobj->acl:to->,It allows adversaries to bypass the standard authentication system to use a defined password for all accounts authenticating to that domain controller.,bypass ,use a defined password
Sentence43,goal1,CT2,dobj->acl:to->dobj->det->,It allows adversaries to bypass the standard authentication system to use a defined password for all accounts authenticating to that domain controller.,bypass ,use a defined password
Sentence43,goal1,CT3,dobj->acl:to->dobj->amod->,It allows adversaries to bypass the standard authentication system to use a defined password for all accounts authenticating to that domain controller.,bypass ,use a defined password
Sentence43,goal1,CT4,dobj->acl:to->dobj->,It allows adversaries to bypass the standard authentication system to use a defined password for all accounts authenticating to that domain controller.,bypass ,use a defined password
Sentence43,goal2,CT1,dobj->acl:to->nmod:for->det->,It allows adversaries to bypass the standard authentication system to use a defined password for all accounts authenticating to that domain controller.,bypass ,all accounts authenticating to that domain controller
Sentence43,goal2,CT2,dobj->acl:to->nmod:for->,It allows adversaries to bypass the standard authentication system to use a defined password for all accounts authenticating to that domain controller.,bypass ,all accounts authenticating to that domain controller
Sentence43,goal2,CT3,dobj->acl:to->nmod:for->acl->,It allows adversaries to bypass the standard authentication system to use a defined password for all accounts authenticating to that domain controller.,bypass ,all accounts authenticating to that domain controller
Sentence43,goal2,CT4,mark->,It allows adversaries to bypass the standard authentication system to use a defined password for all accounts authenticating to that domain controller.,bypass ,all accounts authenticating to that domain controller
Sentence43,goal2,CT5,dobj->acl:to->nmod:for->acl->nmod:to->det->,It allows adversaries to bypass the standard authentication system to use a defined password for all accounts authenticating to that domain controller.,bypass ,all accounts authenticating to that domain controller
Sentence43,goal2,CT6,dobj->acl:to->nmod:for->acl->nmod:to->compound->,It allows adversaries to bypass the standard authentication system to use a defined password for all accounts authenticating to that domain controller.,bypass ,all accounts authenticating to that domain controller
Sentence43,goal2,CT7,dobj->acl:to->nmod:for->acl->nmod:to->,It allows adversaries to bypass the standard authentication system to use a defined password for all accounts authenticating to that domain controller.,bypass ,all accounts authenticating to that domain controller
Sentence44,object1,CT1,dobj->compound->,PUNCHBUGGY can establish Persistence using a AppCertDLLs Registry key.,using ,AppCertDLLs Registry key
Sentence44,object1,CT2,dobj->compound->,PUNCHBUGGY can establish Persistence using a AppCertDLLs Registry key.,using ,AppCertDLLs Registry key
Sentence44,object1,CT3,dobj->,PUNCHBUGGY can establish Persistence using a AppCertDLLs Registry key.,using ,AppCertDLLs Registry key
Sentence44,goal1,CT1,xcomp-u->,PUNCHBUGGY can establish Persistence using a AppCertDLLs Registry key.,using ,establish Persistence
Sentence44,goal1,CT2,xcomp-u->dobj-u->,PUNCHBUGGY can establish Persistence using a AppCertDLLs Registry key.,using ,establish Persistence
Sentence45,object2,CT1,dobj->compound->,Some variants of Cherry Picker use AppInit_DLLs to achieve persistence by creating the following Registry key: Registry key.,creating load ,Registry key
